Date,Message
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14x pos=v70 O606.8 H606.8 L601.36 C603 ATR=14.95 rawVol=39593 volSMA=2836 buf=0.748 prices=603
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14x pos=v70 O606.8 H606.8 L601.36 C603 ATR=14.95 rawVol=39593 volSMA=2836 buf=0.748 prices=606.8
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ◆ ◆¹ PM L 2.5x v85 vol= pos= O606.8 H606.8 L601.36 C603 ATR=14.95 rawVol=39593 volSMA=2836 buf=0.748 prices=
2026-01-21T09:53:00.000-05:00,[KLB] CONF 9:53 ▼ BRK → ✗ (failed)
2026-01-21T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ PM L vol=3.6x pos=^92 O602.09 H604.06 L601.88 C603.88 ATR=14.95 rawVol=33600 volSMA=9334 buf=0.748 prices=603
2026-01-21T10:00:00.000-05:00,[KLB] 10:00 ▲ ~ ~ Yest L vol=3.1x pos=^75 O603.98 H605.78 L603.5 C605.2 ATR=14.95 rawVol=32086 volSMA=10919 buf=0.748 prices=600
2026-01-21T10:25:00.000-05:00,[KLB] 10:25 ▲ BRK ORB H vol=1.7x pos=^81 O605.18 H607.77 L604.75 C607.2 ATR=14.95 rawVol=28443 volSMA=17290 buf=0.748 prices=606.8
2026-01-21T10:45:00.000-05:00,[KLB] 10:45 ▲ BRK Yest H vol=1.8x pos=^61 O610.71 H612.48 L610.64 C611.77 ATR=14.95 rawVol=40078 volSMA=22211 buf=0.748 prices=611.4
2026-01-21T10:45:00.000-05:00,[KLB] CONF 10:45 ▲ BRK → ✓ (auto-promote)
2026-01-21T10:45:00.000-05:00,[KLB] 10:45 ▲ ◆ ◆¹ Yest H 0.3x ^83 vol= pos= O610.71 H612.48 L610.64 C611.77 ATR=14.95 rawVol=40078 volSMA=22211 buf=0.748 prices=
2026-01-21T11:37:00.000-05:00,[KLB] CONF 11:37 ▲ BRK → ✗ (failed)
2026-01-21T13:05:00.000-05:00,[KLB] 13:05 ▼ ~~ ~ PM H + ~~ Yest H vol=2.5x pos=v95 O610.01 H610.2 L606.6 C606.78 ATR=14.95 rawVol=23672 volSMA=9415 buf=0.748 prices=608.6/611.4
2026-01-21T14:30:00.000-05:00,[KLB] 14:30 ▲ BRK PM H + Yest H vol=3.7x pos=^89 O609.01 H614.55 L608.35 C613.88 ATR=14.95 rawVol=29090 volSMA=7781 buf=0.748 prices=608.6/611.4
2026-01-21T14:35:00.000-05:00,[KLB] 14:35 ▼ BRK Week L vol=1.5x pos=v70 O613.99 H614.8 L613.19 C613.68 ATR=14.95 rawVol=12470 volSMA=8186 buf=0.748 prices=614.23
2026-01-21T14:35:00.000-05:00,[KLB] 14:35 ▼ ◆ ◆¹ Week L 0.1x v79 vol= pos= O613.99 H614.8 L613.19 C613.68 ATR=14.95 rawVol=12470 volSMA=8186 buf=0.748 prices=
2026-01-21T14:40:00.000-05:00,[KLB] CONF 14:40 ▼ BRK → ✗ (failed)
2026-01-21T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK Week L vol=2.7x pos=v98 O614.89 H616.07 L613.48 C613.54 ATR=14.95 rawVol=39196 volSMA=14494 buf=0.748 prices=614.23
