Date,Message
2025-09-29T10:10:00.000-04:00,[KLB] 10:10 ▲ ~ ~ VWAP vol=2.4x pos=^88 vwap=above ema=bull rs=+0.4% adx=21 body=77% O600.92 H602.05 L600.78 C601.9 ATR=5.95 SL=601.3/601.01 rawVol=154967 volSMA=65386 buf=0.298 prices=
2025-09-29T11:15:00.000-04:00,"[KLB] 11:15 ▼ ~ ~ PM H
~ VWAP vol=1x pos=v91 vwap=below ema=bull rs=+0.3% adx=21 body=88% O600.73 H600.75 L600.06 C600.12 ATR=5.95 SL=600.72/601.01 rawVol=90549 volSMA=91641 buf=0.298 prices=600.5"
2025-09-29T11:30:00.000-04:00,[KLB] 11:30 ▼ ~ ~ ORB H vol=0.9x pos=v82 vwap=below ema=bull rs=+0.2% adx=28 body=37% O599.65 H599.87 L599.38 C599.47 ATR=5.95 SL=600.07/600.36 rawVol=71537 volSMA=89084 buf=0.298 prices=599.99
2025-09-29T13:05:00.000-04:00,[KLB] 13:05 ▼ BRK PM L vol=1.9x pos=v68 vwap=below ema=bear rs=+0.1% adx=44 body=62% O598.74 H598.79 L597.92 C598.2 ATR=5.95 SL=598.8/599.09 rawVol=138660 volSMA=72611 buf=0.298 prices=598.37
2025-09-29T13:10:00.000-04:00,[KLB] 13:10 ▼ ◆ ◆² PM L 0.8x v80 vol= pos= vwap=below ema=bear rs=+0.2% adx=45 body=65% O598.23 H598.74 L598.2 C598.58 ATR=5.95 SL=599.18/599.47 rawVol=70586 volSMA=72563 buf=0.298 prices=
2025-09-29T13:15:00.000-04:00,[KLB] CONF 13:15 ▼ BRK → ✗ (failed)
2025-09-29T15:10:00.000-04:00,[KLB] 15:10 ▼ BRK PM L vol=1.6x pos=v72 vwap=below ema=bear rs=+0.1% adx=24 body=69% O598.68 H598.7 L598.06 C598.24 ATR=5.95 SL=598.84/599.13 rawVol=90299 volSMA=55979 buf=0.298 prices=598.37
2025-09-29T15:10:00.000-04:00,[KLB] 15:10 ▼ ◆ ◆¹ PM L 1.3x v79 vol= pos= vwap=below ema=bear rs=+0.1% adx=24 body=69% O598.68 H598.7 L598.06 C598.24 ATR=5.95 SL=598.84/599.13 rawVol=90299 volSMA=55979 buf=0.298 prices=
2025-09-29T15:45:00.000-04:00,[KLB] CONF 15:45 ▼ BRK → ✗ (failed)
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ PM L + ~ ORB L vol=3x pos=^99 vwap=above ema=bear rs=-0.1% adx=21 body=91% O596.8 H597.88 L596.71 C597.87 ATR=5.96 SL=597.27/596.98 rawVol=71700 volSMA=23991 buf=0.298 prices=597.09/596.94
2025-09-30T09:55:00.000-04:00,[KLB] 9:55 ▼ BRK PM L + Yest L + ORB L vol=2.9x pos=v98 vwap=below ema=bear rs=-0.2% adx=23 body=89% O597.47 H597.58 L596.33 C596.36 ATR=5.96 SL=596.96/597.25 rawVol=88356 volSMA=32876 buf=0.298 prices=597.09/597.41/596.94
2025-09-30T09:55:00.000-04:00,[KLB] 9:55 ▼ ~ ~ VWAP vol=2.9x pos=v98 vwap=below ema=bear rs=-0.2% adx=23 body=89% O597.47 H597.58 L596.33 C596.36 ATR=5.96 SL=596.96/597.25 rawVol=88356 volSMA=32876 buf=0.298 prices=
2025-09-30T10:00:00.000-04:00,[KLB] 10:00 ▲ ~ ~ PM L + ~ ORB L vol=2x pos=^100 vwap=above ema=bear rs=-0.1% adx=25 body=85% O596.35 H597.72 L596.1 C597.72 ATR=5.96 SL=597.12/596.83 rawVol=73657 volSMA=36498 buf=0.298 prices=597.09/596.94
2025-09-30T10:00:00.000-04:00,[KLB] CONF 10:00 ▼ BRK → ✗ (failed)
2025-09-30T10:10:00.000-04:00,[KLB] 10:10 ▼ BRK Yest L vol=1.9x pos=v89 vwap=below ema=bear rs=-0.2% adx=26 body=89% O597.94 H597.94 L596.8 C596.92 ATR=5.96 SL=597.52/597.81 rawVol=86868 volSMA=46426 buf=0.298 prices=597.41
2025-09-30T10:10:00.000-04:00,[KLB] 10:10 ▼ ◆ ◆¹ Yest L 1.7x v17 vol= pos= vwap=below ema=bear rs=-0.2% adx=26 body=89% O597.94 H597.94 L596.8 C596.92 ATR=5.96 SL=597.52/597.81 rawVol=86868 volSMA=46426 buf=0.298 prices=
2025-09-30T10:30:00.000-04:00,[KLB] CONF 10:30 ▼ BRK → ✗ (failed)
2025-09-30T10:45:00.000-04:00,[KLB] 10:45 ▲ ~~ ~~ PM L + ~~ ORB L vol=0.8x pos=^91 vwap=above ema=bear rs=0% adx=25 body=84% O596.87 H597.79 L596.8 C597.7 ATR=5.96 SL=597.1/596.81 rawVol=47140 volSMA=60172 buf=0.298 prices=597.09/596.94
2025-09-30T10:50:00.000-04:00,[KLB] 10:50 ▲ ~ ~ VWAP vol=1.2x pos=^80 vwap=above ema=bear rs=0% adx=23 body=80% O597.69 H598.84 L597.69 C598.61 ATR=5.96 SL=598.01/597.72 rawVol=78626 volSMA=63805 buf=0.298 prices=
2025-09-30T11:00:00.000-04:00,[KLB] 11:00 ▲ ~~ ~~ Yest L vol=1.1x pos=^58 vwap=above ema=bear rs=+0% adx=22 body=58% O598.57 H599.21 L598.57 C598.94 ATR=5.96 SL=598.34/598.05 rawVol=76429 volSMA=69323 buf=0.298 prices=597.41
2025-09-30T14:45:00.000-04:00,[KLB] 14:45 ▲ ~~ ~~ Yest L vol=0.9x pos=^90 vwap=above ema=bull rs=-0.1% adx=22 body=79% O598.6 H598.95 L598.56 C598.91 ATR=5.96 SL=598.31/598.02 rawVol=43833 volSMA=47082 buf=0.298 prices=597.41
