Date,Message
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ 🔊 MC ramp=16.6x vol=9.4x pos=v93 vwap=below ema=bear adx=22 body=61% rangeATR=1.7 O664.28 H664.45 L663.91 C663.95 ATR=5.08
2025-09-29T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=9.4x pos=v93 vwap=below ema=bear rs=+0% adx=22 body=61% ramp=16.6x rangeATR=1.7 🔊 O664.28 H664.45 L663.91 C663.95 ATR=5.08 SL=664.46/664.71 rawVol=316722 volSMA=45934 buf=0.254 prices=
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ 🔊 MC ramp=24.6x vol=5.2x pos=^92 vwap=below ema=bear adx=25 body=63% rangeATR=2.2 ⚡ O663.94 H664.47 L663.72 C664.41 ATR=5.08
2025-09-29T09:50:00.000-04:00,[KLB] CONF 9:50 ▲ QBS/MC → ✓★ (auto-promote)
2025-09-29T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▲ pnl=0 → BAIL
2025-09-29T10:05:00.000-04:00,[KLB] 10:05 ▼ ~ ~ ORB H vol=2.6x pos=v86 vwap=below ema=bear rs=+0% adx=30 body=47% ramp=0.8x rangeATR=1.9 O664.54 H664.83 L664.07 C664.18 ATR=5.08 SL=664.69/664.94 rawVol=292968 volSMA=114050 buf=0.254 prices=664.76
2025-09-29T10:10:00.000-04:00,"[KLB] 10:10 ▲ ~ ~ ORB L
~ VWAP vol=2.1x pos=^85 vwap=above ema=bear rs=+0% adx=29 body=75% ramp=0.9x rangeATR=2.7 ⚡ O664.17 H665.28 L664.05 C665.09 ATR=5.08 SL=664.58/664.33 rawVol=272996 volSMA=127395 buf=0.254 prices=664.14"
2025-09-29T10:20:00.000-04:00,[KLB] 10:20 ▼ ~ ~ ORB H vol=1.5x pos=v97 vwap=below ema=bear rs=+0% adx=29 body=79% ramp=0.9x rangeATR=1.3 O664.68 H664.79 L664.16 C664.18 ATR=5.08 SL=664.69/664.94 rawVol=185943 volSMA=146737 buf=0.254 prices=664.76
2025-09-29T10:25:00.000-04:00,[KLB] 10:25 ▲ ~ ~ ORB L vol=1x pos=^94 vwap=above ema=bear rs=+0% adx=29 body=73% ramp=0.7x rangeATR=1.8 O664.18 H664.89 L663.99 C664.84 ATR=5.08 SL=664.33/664.08 rawVol=149530 volSMA=154044 buf=0.254 prices=664.14
2025-09-29T11:00:00.000-04:00,[KLB] 11:00 ▼ ~ ~ ORB H vol=0.8x pos=v60 vwap=below ema=bear rs=+0% adx=30 body=47% ramp=1x rangeATR=0.9 O664.65 H664.7 L664.3 C664.46 ATR=5.08 SL=664.97/665.22 rawVol=150290 volSMA=197434 buf=0.254 prices=664.76
2025-09-30T15:50:00.000-04:00,[KLB] 15:50 ▲ BRK Yest H vol=3.2x pos=^98 vwap=above ema=bull rs=+0% adx=37 body=97% ramp=1.6x rangeATR=2.2 ⚡ ⚠ O665.01 H665.97 L665 C665.95 ATR=4.97 SL=665.45/665.21 rawVol=599126 volSMA=188278 buf=0.248 prices=665.28
2025-10-01T13:20:00.000-04:00,[KLB] 13:20 ▲ BRK Week H vol=1.5x pos=^67 vwap=above ema=bull rs=+0% adx=31 body=65% ramp=1.5x rangeATR=1.4 O667.36 H667.87 L667.35 C667.7 ATR=4.97 SL=667.2/666.95 rawVol=231658 volSMA=154371 buf=0.249 prices=667.34
2025-10-02T09:35:00.000-04:00,[KLB] 9:35 ▼ 🔊 MC ramp=20.7x vol=15.6x pos=v48 vwap=above ema=bull adx=30 body=31% rangeATR=3.2 ⚡ O670.45 H670.57 L669.86 C670.23 ATR=5.07
2025-10-02T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ ORB H vol=10.1x pos=v89 vwap=below ema=bull rs=+0% adx=30 body=55% ramp=52.9x rangeATR=2.8 ⚡ 🔊 O670.22 H670.47 L669.74 C669.82 ATR=5.07 SL=670.33/670.58 rawVol=295397 volSMA=41470 buf=0.253 prices=670.57
2025-10-02T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ QBS/MC → ✓ (auto-promote)
2025-10-02T09:45:00.000-04:00,[KLB] 9:45 ▼ ~ ~ VWAP vol=5.7x pos=v83 vwap=below ema=bull rs=+0% adx=32 body=83% ramp=35.5x rangeATR=3 ⚡ ⚠ 🔊 O669.82 H669.82 L668.88 C669.04 ATR=5.07 SL=669.55/669.8 rawVol=328476 volSMA=57730 buf=0.253 prices=
2025-10-02T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=0.15 → HOLD
