Date,Message
2026-01-22T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PM H + Yest H + ORB H vol=7.7x pos=^78 vwap=above ema=bull rs=+0.2% adx=20 body=67% O332.78 H334.89 L332.52 C334.37 ATR=9.84 SL=333.39/332.89 rawVol=54712 volSMA=7123 buf=0.492 prices=333.46/333.64/333.56
2026-01-22T09:41:00.000-05:00,"[KLB] 9:41 ▲ ◆ ◆² PM H 0.6x ^19
◆² Yest H 0.6x ^19
◆² ORB H 0.6x ^19 vol= pos= vwap=above ema=bull rs=+0.2% adx=20 body=67% O332.78 H334.89 L332.52 C334.37 ATR=9.84 SL=333.39/332.89 rawVol=54712 volSMA=7123 buf=0.492 prices="
2026-01-22T09:45:00.000-05:00,[KLB] CONF 9:45 ▲ BRK → ✗ (failed)
2026-01-22T15:00:00.000-05:00,[KLB] 15:00 ▼ BRK PM L vol=2.1x pos=v68 vwap=below ema=bear rs=-1.1% adx=26 body=66% O329.67 H329.68 L329.06 C329.26 ATR=9.84 SL=330.24/330.74 rawVol=19006 volSMA=9058 buf=0.492 prices=329.6
2026-01-22T15:14:00.000-05:00,[KLB] 15:14 ▼ ◆ ◆¹⁵ PM L 0.2x v20 vol= pos= vwap=below ema=bear rs=-1.2% adx=31 body=60% O328.91 H329.19 L328.89 C329.09 ATR=9.84 SL=330.07/330.57 rawVol=15718 volSMA=10325 buf=0.492 prices=
2026-01-23T10:30:00.000-05:00,[KLB] 10:30 ▲ BRK Yest H vol=1.9x pos=^89 vwap=above ema=bull rs=+1.1% adx=42 body=82% O335.47 H336.25 L335.41 C336.16 ATR=9.78 SL=335.18/334.69 rawVol=39843 volSMA=21203 buf=0.489 prices=335.05
2026-01-23T11:07:00.000-05:00,[KLB] 11:07 ▲ ◆ ◆³⁸ Yest H 0.1x ^0 vol= pos= vwap=above ema=bull rs=+1% adx=48 body=28% O336.45 H337.13 L336.1 C336.74 ATR=9.78 SL=335.76/335.27 rawVol=21940 volSMA=24820 buf=0.489 prices=
2026-01-23T11:12:00.000-05:00,[KLB] CONF 11:12 ▲ BRK → ✗ (failed)
2026-01-26T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=1.8x pos=^95 vwap=above ema=bull rs=+0.1% adx=24 body=95% O332.54 H334.16 L332.54 C334.08 ATR=9.78 SL=333.1/332.61 rawVol=14325 volSMA=7817 buf=0.489 prices=332.9
2026-01-26T10:02:00.000-05:00,[KLB] 10:02 ▲ ◆ ◆³ ORB H 0.2x ^68 vol= pos= vwap=above ema=bull rs=+0.1% adx=24 body=95% O332.54 H334.16 L332.54 C334.08 ATR=9.78 SL=333.1/332.61 rawVol=14325 volSMA=7817 buf=0.489 prices=
2026-01-26T11:20:00.000-05:00,[KLB] CONF 11:20 ▲ BRK → ✗ (failed)
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=10.8x pos=v70 vwap=below ema=bear rs=-0.7% adx=21 body=68% O343.02 H343.09 L339.75 C340.74 ATR=9.36 SL=341.68/342.14 rawVol=49826 volSMA=4625 buf=0.468 prices=343.11
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ Week H + ~ ORB H vol=10.8x pos=v70 vwap=below ema=bear rs=-0.7% adx=21 body=68% O343.02 H343.09 L339.75 C340.74 ATR=9.36 SL=341.68/342.14 rawVol=49826 volSMA=4625 buf=0.468 prices=342.15/343.09
2026-01-28T09:39:00.000-05:00,[KLB] 9:39 ▼ ◆ ◆⁵ PM L 1.3x v37 vol= pos= vwap=below ema=bear rs=-0.7% adx=21 body=68% O343.02 H343.09 L339.75 C340.74 ATR=9.36 SL=341.68/342.14 rawVol=49826 volSMA=4625 buf=0.468 prices=
2026-01-28T09:41:00.000-05:00,[KLB] CONF 9:41 ▼ BRK → ✗ (failed)
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L vol=3.8x pos=v91 vwap=below ema=bear rs=-0.2% adx=22 body=67% O344.7 H345.5 L342.24 C342.53 ATR=9.36 SL=343.47/343.93 rawVol=37110 volSMA=9749 buf=0.468 prices=343.11
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ ORB H vol=3.8x pos=v91 vwap=below ema=bear rs=-0.2% adx=22 body=67% O344.7 H345.5 L342.24 C342.53 ATR=9.36 SL=343.47/343.93 rawVol=37110 volSMA=9749 buf=0.468 prices=343.09
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ◆ ◆¹ PM L 0.5x v88 vol= pos= vwap=below ema=bear rs=-0.2% adx=22 body=67% O344.7 H345.5 L342.24 C342.53 ATR=9.36 SL=343.47/343.93 rawVol=37110 volSMA=9749 buf=0.468 prices=
2026-01-28T14:48:00.000-05:00,[KLB] CONF 14:48 ▼ BRK → ✗ (failed)
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8x pos=^98 vwap=above ema=bull rs=+0.9% adx=23 body=73% O339.84 H342.59 L338.95 C342.5 ATR=9.21 SL=341.58/341.12 rawVol=43449 volSMA=5405 buf=0.46 prices=340.42
