Date,Message
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ BRK ORB H vol=7.4x pos=^95 vwap=above ema=bull rs=+1.2% adx=21 body=94% O161.27 H162.16 L161.26 C162.11 ATR=5.91 SL=161.52/161.22 rawVol=178556 volSMA=24014 buf=0.296 prices=161.15
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ BRK Yest H vol=5.5x pos=^90 vwap=above ema=bull rs=+1.8% adx=24 body=80% O162.07 H163.23 L161.94 C163.1 ATR=5.91 SL=162.51/162.21 rawVol=169116 volSMA=32445 buf=0.296 prices=162.11
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ ~ ~ VWAP vol=5.5x pos=^90 vwap=above ema=bull rs=+1.8% adx=24 body=80% O162.07 H163.23 L161.94 C163.1 ATR=5.91 SL=162.51/162.21 rawVol=169116 volSMA=32445 buf=0.296 prices=
2025-09-29T09:50:00.000-04:00,[KLB] CONF 9:50 ▲ BRK → ✓★ (auto-promote)
2025-09-29T09:55:00.000-04:00,[KLB] 5m CHECK 9:55 ▲ pnl=-0.04 → BAIL
2025-09-29T10:00:00.000-04:00,[KLB] 10:00 ▲ ◆ ◆³ Yest H 2x ^23 vol= pos= vwap=above ema=bull rs=+1.7% adx=30 body=2% O162.84 H163.1 L162.47 C162.85 ATR=5.91 SL=162.26/161.96 rawVol=54517 volSMA=40454 buf=0.296 prices=
2025-09-29T12:00:00.000-04:00,[KLB] CONF 12:00 ▲ BRK → ✗ (failed)
2025-09-29T12:05:00.000-04:00,[KLB] 12:05 ▼ ~ ~ VWAP vol=1.4x pos=v98 vwap=below ema=bull rs=+1.2% adx=23 body=92% O162.56 H162.62 L161.64 C161.66 ATR=5.91 SL=162.25/162.55 rawVol=75238 volSMA=52478 buf=0.296 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L + Yest L vol=15.2x pos=v88 vwap=below ema=bear rs=-0.6% adx=24 body=78% O160.8 H160.93 L159.59 C159.75 ATR=5.84 SL=160.33/160.63 rawVol=133887 volSMA=8791 buf=0.292 prices=160.26/159.9
2025-09-30T09:35:00.000-04:00,"[KLB] 9:35 ▼ ◆ ◆¹ PM L 12x v71
◆¹ Yest L 12x v71 vol= pos= vwap=below ema=bear rs=-0.6% adx=24 body=78% O160.8 H160.93 L159.59 C159.75 ATR=5.84 SL=160.33/160.63 rawVol=133887 volSMA=8791 buf=0.292 prices="
2025-09-30T09:40:00.000-04:00,[KLB] CONF 9:40 ▼ BRK → ✗ (failed)
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~~ ~~ Yest L + ~ ORB L vol=4.6x pos=^88 vwap=above ema=bear rs=-0.4% adx=28 body=58% O159.66 H160.38 L159.34 C160.26 ATR=5.84 SL=159.68/159.38 rawVol=83144 volSMA=18110 buf=0.292 prices=159.9/159.59
2025-09-30T09:45:00.000-04:00,[KLB] 5m CHECK 9:45 ▼ pnl=-0.11 → BAIL
2025-09-30T10:00:00.000-04:00,[KLB] 10:00 ▲ ~~ ~~ PM L + ~~ Yest L + ~ ORB L vol=1.4x pos=^93 vwap=above ema=bear rs=-0.2% adx=26 body=87% O159.81 H160.6 L159.76 C160.54 ATR=5.84 SL=159.96/159.66 rawVol=36520 volSMA=25354 buf=0.292 prices=160.26/159.9/159.59
2025-09-30T10:20:00.000-04:00,"[KLB] 10:20 ▲ ~~ ~~ PM L
~ VWAP vol=1.3x pos=^88 vwap=above ema=bear rs=+0.2% adx=22 body=73% O160.38 H161.18 L160.23 C161.07 ATR=5.84 SL=160.49/160.19 rawVol=47847 volSMA=37750 buf=0.292 prices=160.26"
