Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.2x pos=v39 O233.68 H234.44 L231.56 C233.31 ATR=5.12 rawVol=161458 volSMA=12253 buf=0.256 prices=234.44
2026-01-20T13:40:00.000-05:00,[KLB] 13:40 ▼ BRK ORB L vol=2.8x pos=v87 O231.53 H231.58 L231.11 C231.17 ATR=5.12 rawVol=75516 volSMA=27147 buf=0.256 prices=231.56
2026-01-21T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14.8x pos=v100 O231.22 H231.33 L229.52 C229.52 ATR=5.45 rawVol=147456 volSMA=9947 buf=0.273 prices=231.33
2026-01-21T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ PM L + ~ ORB L vol=7.3x pos=^92 O229.56 H230.25 L228.93 C230.14 ATR=5.45 rawVol=113910 volSMA=15620 buf=0.273 prices=229.69/229.52
2026-01-21T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK PM L + ORB L vol=4.7x pos=v55 O230.18 H230.2 L228.68 C229.37 ATR=5.45 rawVol=96429 volSMA=20409 buf=0.273 prices=229.69/229.52
2026-01-21T09:50:00.000-05:00,[KLB] CONF 9:50 ▼ BRK → ✗ (failed)
2026-01-21T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ PM L + ~ Yest L vol=4.2x pos=^100 O229.79 H231.24 L229.72 C231.24 ATR=5.45 rawVol=121092 volSMA=28904 buf=0.273 prices=229.69/229.34
2026-01-21T10:00:00.000-05:00,[KLB] 10:00 ▲ BRK ORB H vol=3.7x pos=^62 O231.23 H231.96 L231.12 C231.64 ATR=5.45 rawVol=72205 volSMA=32345 buf=0.273 prices=231.33
2026-01-21T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✗ (failed)
2026-01-21T10:10:00.000-05:00,[KLB] 10:10 ▼ ~~ ~~ ORB H vol=1.5x pos=v97 O231.3 H231.37 L230.75 C230.77 ATR=5.45 rawVol=27136 volSMA=36293 buf=0.273 prices=231.33
2026-01-21T11:40:00.000-05:00,[KLB] 11:40 ▼ BRK PM L vol=2x pos=v99 O230.74 H230.74 L229.25 C229.26 ATR=5.45 rawVol=67571 volSMA=33572 buf=0.273 prices=229.69
2026-01-21T11:45:00.000-05:00,[KLB] 11:45 ▼ BRK Yest L + ORB L vol=2x pos=v98 O229.25 H229.5 L228.86 C228.87 ATR=5.45 rawVol=66082 volSMA=34109 buf=0.273 prices=229.34/229.52
2026-01-21T11:45:00.000-05:00,[KLB] CONF 11:45 ▼ BRK → ✓ (auto-promote)
2026-01-21T14:28:00.000-05:00,[KLB] 14:28 ▼ ◆ ◆³² Yest L 0.8x v47 vol= pos= O227.6 H227.69 L227.35 C227.53 ATR=5.45 rawVol=18425 volSMA=26000 buf=0.273 prices=
2026-01-21T14:29:00.000-05:00,"[KLB] 14:29 ▼ ◆ ◆³² Yest L 0.8x v47
◆³² ORB L 0.8x v47 vol= pos= O227.6 H227.69 L227.35 C227.53 ATR=5.45 rawVol=18425 volSMA=26000 buf=0.273 prices="
2026-01-21T14:30:00.000-05:00,[KLB] CONF 14:30 ▼ BRK → ✗ (failed)
2026-01-21T14:35:00.000-05:00,[KLB] 14:35 ▲ ~~ ~~ PM L + ~~ ORB L vol=3.2x pos=^99 O229.46 H230.21 L229.4 C230.2 ATR=5.45 rawVol=75904 volSMA=31332 buf=0.273 prices=229.69/229.52
2026-01-21T14:45:00.000-05:00,[KLB] 14:45 ▲ ~~ ~~ Yest L vol=1.8x pos=^90 O230.87 H231.6 L230.64 C231.5 ATR=5.45 rawVol=56547 volSMA=32281 buf=0.273 prices=229.34
2026-01-21T14:50:00.000-05:00,[KLB] 14:50 ▲ BRK ORB H vol=1.7x pos=^77 O231.52 H232.04 L231.43 C231.9 ATR=5.45 rawVol=58271 volSMA=33583 buf=0.273 prices=231.33
2026-01-21T15:01:00.000-05:00,[KLB] 15:01 ▲ ◆ ◆² ORB H 1.1x ^100 vol= pos= O231.63 H232.17 L231.5 C232.17 ATR=5.45 rawVol=38551 volSMA=35656 buf=0.273 prices=
2026-01-21T15:15:00.000-05:00,[KLB] CONF 15:15 ▲ BRK → ✗ (failed)
2026-01-22T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ PM H vol=1.9x pos=v63 O234.2 H234.53 L233.8 C234.07 ATR=5.45 rawVol=6020 volSMA=3164 buf=0.273 prices=234.68
2026-01-22T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.1x pos=v89 O234.05 H234.44 L232.77 C232.96 ATR=5.45 rawVol=118135 volSMA=9007 buf=0.273 prices=234.44
2026-01-22T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ ORB L vol=4.2x pos=^54 O232.86 H233.64 L232.66 C233.19 ATR=5.45 rawVol=65410 volSMA=15463 buf=0.273 prices=232.77
2026-01-22T09:50:00.000-05:00,[KLB] 9:50 ▼ BRK PM L + ORB L vol=4.2x pos=v94 O233.21 H233.43 L231.65 C231.76 ATR=5.45 rawVol=80919 volSMA=19403 buf=0.273 prices=232.42/232.77
