Date,Message
2026-01-20T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=11.1x pos=^96 O681.49 H682.69 L681.39 C682.64 ATR=5.58 rawVol=534255 volSMA=48180 buf=0.279 prices=681.39
2026-01-20T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ ORB H vol=4.6x pos=v43 O682.64 H682.91 L681.87 C682.46 ATR=5.58 rawVol=278970 volSMA=60953 buf=0.279 prices=682.69
2026-01-20T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK ORB H vol=5.3x pos=^94 O682.47 H683.27 L681.61 C683.17 ATR=5.58 rawVol=437742 volSMA=82594 buf=0.279 prices=682.69
2026-01-20T09:46:00.000-05:00,[KLB] CONF 9:46 ▲ BRK → ✗ (failed)
2026-01-20T09:50:00.000-05:00,[KLB] 9:50 ▼ ~~ ~~ ORB H vol=3.1x pos=v65 O683.18 H683.18 L681.84 C682.3 ATR=5.58 rawVol=301672 volSMA=97124 buf=0.279 prices=682.69
2026-01-20T10:10:00.000-05:00,[KLB] 10:10 ▼ BRK ORB L vol=1.9x pos=v87 O681.89 H682.28 L680.96 C681.13 ATR=5.58 rawVol=269865 volSMA=141468 buf=0.279 prices=681.39
2026-01-20T10:12:00.000-05:00,[KLB] 10:12 ▼ ◆ ◆⁰ ORB L 1.9x v87 vol= pos= O681.89 H682.28 L680.96 C681.13 ATR=5.58 rawVol=269865 volSMA=141468 buf=0.279 prices=
2026-01-20T10:14:00.000-05:00,[KLB] CONF 10:14 ▼ BRK → ✗ (failed)
2026-01-20T10:25:00.000-05:00,[KLB] 10:25 ▲ BRK ORB H vol=1.6x pos=^86 O681.28 H683.36 L681.2 C683.06 ATR=5.58 rawVol=268671 volSMA=166634 buf=0.279 prices=682.69
2026-01-20T10:25:00.000-05:00,[KLB] 10:25 ▲ ~~ ~~ ORB L vol=1.6x pos=^86 O681.28 H683.36 L681.2 C683.06 ATR=5.58 rawVol=268671 volSMA=166634 buf=0.279 prices=681.39
