Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L vol=15.6x pos=v98 O445.03 H445.06 L439.6 C439.69 ATR=15.17 rawVol=309104 volSMA=19847 buf=0.759 prices=443/444.04
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=15.6x pos=v98 O445.03 H445.06 L439.6 C439.69 ATR=15.17 rawVol=309104 volSMA=19847 buf=0.759 prices=445.06
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ ORB L vol=5.3x pos=^40 O439.62 H441.49 L439.39 C440.23 ATR=15.17 rawVol=141003 volSMA=26819 buf=0.759 prices=439.6
2026-01-26T09:45:00.000-05:00,[KLB] 9:45 ▼ BRK ORB L vol=4.5x pos=v67 O440.22 H440.23 L438 C438.73 ATR=15.17 rawVol=154909 volSMA=34439 buf=0.759 prices=439.6
2026-01-26T09:45:00.000-05:00,[KLB] CONF 9:45 ▼ BRK → ✓ (auto-promote)
2026-01-26T09:57:00.000-05:00,[KLB] 9:57 ▼ ◆ ◆² ORB L 3x v43 vol= pos= O437.69 H439.26 L437.66 C438.58 ATR=15.17 rawVol=93097 volSMA=45646 buf=0.759 prices=
2026-01-26T10:14:00.000-05:00,[KLB] CONF 10:14 ▼ BRK → ✗ (failed)
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L + Yest L vol=13.8x pos=v92 O437.48 H437.48 L433.15 C433.51 ATR=15.14 rawVol=157253 volSMA=11372 buf=0.757 prices=435.3/434.28
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.8x pos=v92 O437.48 H437.48 L433.15 C433.51 ATR=15.14 rawVol=157253 volSMA=11372 buf=0.757 prices=437.48
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=8.7x pos=v66 O433.59 H433.88 L431.81 C432.51 ATR=15.14 rawVol=136746 volSMA=18017 buf=0.757 prices=433.15
2026-01-27T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-27T09:51:00.000-05:00,[KLB] 9:51 ▼ ◆ ◆² ORB L 2.5x v30 vol= pos= O432.66 H433.95 L432.55 C433.53 ATR=15.14 rawVol=61464 volSMA=24520 buf=0.757 prices=
2026-01-27T09:54:00.000-05:00,[KLB] CONF 9:54 ▼ BRK → ✗ (failed)
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ ~~ ~~ ORB L vol=3.4x pos=^95 O433.55 H434.39 L432.25 C434.29 ATR=15.14 rawVol=100850 volSMA=29515 buf=0.757 prices=433.15
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▲ ~~ ~~ Yest L vol=2.3x pos=^90 O434.41 H436 L433.52 C435.75 ATR=15.14 rawVol=83286 volSMA=35876 buf=0.757 prices=434.28
2026-01-27T13:05:00.000-05:00,[KLB] 13:05 ▼ BRK Yest L + ORB L vol=2.2x pos=v27 O433.3 H433.3 L432.28 C433.02 ATR=15.14 rawVol=51689 volSMA=23989 buf=0.757 prices=434.28/433.15
2026-01-27T13:16:00.000-05:00,[KLB] 13:16 ▼ ◆ ◆² ORB L 1.2x v3 vol= pos= O432.67 H433.17 L432.28 C433.14 ATR=15.14 rawVol=28119 volSMA=23978 buf=0.757 prices=
2026-01-27T15:26:00.000-05:00,"[KLB] 15:26 ▼ ◆ ◆²⁸ Yest L 0.7x v41
◆² ORB L 1.2x v3 vol= pos= O433.59 H433.8 L433.43 C433.65 ATR=15.14 rawVol=23264 volSMA=31650 buf=0.757 prices="
2026-01-27T15:55:00.000-05:00,[KLB] 15:55 ▼ BRK ORB L vol=2.7x pos=v78 O432.53 H432.63 L431.53 C431.77 ATR=15.14 rawVol=83791 volSMA=30979 buf=0.757 prices=433.15
2026-01-27T15:55:00.000-05:00,[KLB] CONF 15:55 ▼ BRK → ✓ (auto-promote)
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=10.2x pos=^69 O431.91 H434.45 L431.2 C433.43 ATR=14.55 rawVol=118083 volSMA=11554 buf=0.727 prices=431/431.2
2026-01-28T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.1x pos=^57 O433.43 H435.85 L432.81 C434.54 ATR=14.55 rawVol=152604 volSMA=18891 buf=0.727 prices=434.45
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK PM H vol=6.5x pos=^80 O434.51 H437.89 L434.51 C437.21 ATR=14.55 rawVol=176848 volSMA=27407 buf=0.727 prices=434.73
2026-01-28T09:45:00.000-05:00,[KLB] CONF 9:45 ▲ BRK → ✓ (auto-promote)
2026-01-28T09:50:00.000-05:00,[KLB] 9:50 ▼ ~ ~ Yest H vol=3.2x pos=v44 O437.27 H437.82 L435.21 C436.67 ATR=14.55 rawVol=103515 volSMA=32139 buf=0.727 prices=437.52
2026-01-28T10:12:00.000-05:00,[KLB] 10:12 ▲ ◆ ◆⁵ PM H 1.4x ^74 vol= pos= O436.22 H436.82 L435.61 C436.5 ATR=14.55 rawVol=68541 volSMA=48255 buf=0.727 prices=
2026-01-28T10:28:00.000-05:00,[KLB] CONF 10:28 ▲ BRK → ✗ (failed)
2026-01-28T12:15:00.000-05:00,[KLB] 12:15 ▲ BRK PM H + ORB H vol=1.9x pos=^97 O434.27 H435.6 L434.15 C435.56 ATR=14.55 rawVol=68205 volSMA=35468 buf=0.727 prices=434.73/434.45
2026-01-28T12:23:00.000-05:00,[KLB] CONF 12:23 ▲ BRK → ✗ (failed)
2026-01-28T14:35:00.000-05:00,[KLB] 14:35 ▼ ~~ ~~ ORB H vol=2.8x pos=v64 O432.89 H434.16 L431.75 C432.62 ATR=14.55 rawVol=84943 volSMA=30330 buf=0.727 prices=434.45
2026-01-28T15:05:00.000-05:00,[KLB] 15:05 ▲ BRK PM H + ORB H vol=1.7x pos=^34 O434.38 H436 L434.27 C434.85 ATR=14.55 rawVol=60228 volSMA=35711 buf=0.727 prices=434.73/434.45
2026-01-28T15:21:00.000-05:00,[KLB] 15:21 ▲ ◆ ◆³ ORB H 1x ^61 vol= pos= O434.47 H434.65 L434.06 C434.42 ATR=14.55 rawVol=36465 volSMA=38318 buf=0.727 prices=
2026-01-28T15:23:00.000-05:00,"[KLB] 15:23 ▲ ◆ ◆³ PM H 1x ^61
◆³ ORB H 1x ^61 vol= pos= O434.47 H434.65 L434.06 C434.42 ATR=14.55 rawVol=36465 volSMA=38318 buf=0.727 prices="
