Date,Message
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=11.1x pos=^91 O623.21 H623.83 L622.12 C623.67 ATR=8.29 rawVol=144615 volSMA=13013 buf=0.415 prices=623.15
2026-01-26T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=11.1x pos=^91 O623.21 H623.83 L622.12 C623.67 ATR=8.29 rawVol=144615 volSMA=13013 buf=0.415 prices=622.12
2026-01-26T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.4x pos=^85 O623.68 H624.35 L623.64 C624.24 ATR=8.29 rawVol=83765 volSMA=17168 buf=0.415 prices=623.83
2026-01-26T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-01-26T10:20:00.000-05:00,[KLB] 10:20 ▲ BRK Yest H + Week H vol=1.6x pos=^93 O625.37 H626.15 L625.1 C626.08 ATR=8.29 rawVol=76936 volSMA=47639 buf=0.415 prices=625.4/625.4
2026-01-26T10:20:00.000-05:00,[KLB] CONF 10:20 ▲ BRK → ✓ (auto-promote)
2026-01-26T10:30:00.000-05:00,"[KLB] 10:30 ▲ ◆ ◆² Yest H 1.2x ^13
◆² Week H 1.2x ^13 vol= pos= O626.31 H626.32 L625.36 C625.48 ATR=8.29 rawVol=63870 volSMA=52345 buf=0.415 prices="
2026-01-27T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14.9x pos=v88 O628.91 H629.62 L628.25 C628.42 ATR=8.09 rawVol=266162 volSMA=17867 buf=0.405 prices=629.62
2026-01-27T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK PM L + ORB L vol=11.5x pos=v78 O628.44 H628.64 L627.34 C627.62 ATR=8.09 rawVol=106504 volSMA=23105 buf=0.405 prices=628.56/628.25
2026-01-27T09:45:00.000-05:00,[KLB] 9:45 ▲ BRK Yest H vol=3.7x pos=^52 O627.64 H628.91 L627.63 C628.29 ATR=8.09 rawVol=105354 volSMA=28192 buf=0.405 prices=627.61
2026-01-27T09:49:00.000-05:00,[KLB] CONF 9:49 ▼ BRK → ✗ (failed)
2026-01-27T09:50:00.000-05:00,[KLB] 9:50 ▲ ~~ ~~ PM L + ~~ ORB L vol=3.4x pos=^85 O628.32 H628.97 L628.32 C628.87 ATR=8.09 rawVol=68434 volSMA=31413 buf=0.405 prices=628.56/628.25
2026-01-27T09:55:00.000-05:00,[KLB] 9:55 ▲ BRK ORB H vol=3.4x pos=^97 O628.87 H630.24 L628.86 C630.19 ATR=8.09 rawVol=127098 volSMA=37667 buf=0.405 prices=629.62
2026-01-27T09:55:00.000-05:00,[KLB] CONF 9:55 ▲ BRK → ✓ (auto-promote)
2026-01-27T10:05:00.000-05:00,[KLB] 10:05 ▲ BRK PM H vol=2.3x pos=^67 O630.65 H630.86 L630.29 C630.67 ATR=8.09 rawVol=101756 volSMA=47652 buf=0.405 prices=630.31
2026-01-27T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✓ (auto-promote)
2026-01-27T10:05:00.000-05:00,[KLB] CONF 10:05 ▲ BRK → ✗ (failed)
2026-01-28T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13x pos=v67 O635.46 H636.32 L634.93 C635.4 ATR=7.99 rawVol=227500 volSMA=17459 buf=0.399 prices=636.32
2026-01-28T09:45:00.000-05:00,[KLB] 9:45 ▲ ~ ~ PM L vol=4.3x pos=^87 O635.26 H636.41 L635.26 C636.26 ATR=7.99 rawVol=129581 volSMA=29939 buf=0.399 prices=635.03
2026-01-28T10:05:00.000-05:00,[KLB] 10:05 ▲ ~ ~ ORB L vol=1.5x pos=^57 O635.45 H635.75 L635.08 C635.46 ATR=7.99 rawVol=69901 volSMA=45886 buf=0.399 prices=634.93
2026-01-28T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK PM L + ORB L vol=2x pos=v92 O635.2 H635.26 L634.5 C634.56 ATR=7.99 rawVol=73799 volSMA=54428 buf=0.399 prices=635.03/634.93
2026-01-28T10:16:00.000-05:00,[KLB] CONF 10:16 ▼ BRK → ✗ (failed)
2026-01-28T12:45:00.000-05:00,[KLB] 12:45 ▲ BRK Yest H vol=2.1x pos=^71 O632.36 H632.72 L632.2 C632.57 ATR=7.99 rawVol=89193 volSMA=43138 buf=0.399 prices=632.04
2026-01-28T14:02:00.000-05:00,[KLB] 14:02 ▲ ◆ ◆¹⁵ Yest H 1.3x ^6 vol= pos= O633.5 H633.73 L633.39 C633.41 ATR=7.99 rawVol=37233 volSMA=37213 buf=0.399 prices=
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=13.4x pos=v85 O632.65 H633.68 L631.48 C631.81 ATR=7.81 rawVol=285371 volSMA=21243 buf=0.39 prices=632.7
2026-01-29T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=13.4x pos=v85 O632.65 H633.68 L631.48 C631.81 ATR=7.81 rawVol=285371 volSMA=21243 buf=0.39 prices=633.68
2026-01-29T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK Yest L + ORB L vol=8.9x pos=v73 O631.82 H631.85 L629.55 C630.17 ATR=7.81 rawVol=219677 volSMA=32072 buf=0.39 prices=631.81/631.48
2026-01-29T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK Week H vol=13.1x pos=^75 O625.69 H627.68 L625.2 C627.07 ATR=8.35 rawVol=289244 volSMA=22075 buf=0.417 prices=625.4
2026-01-30T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=13.1x pos=^75 O625.69 H627.68 L625.2 C627.07 ATR=8.35 rawVol=289244 volSMA=22075 buf=0.417 prices=625.2
2026-01-30T09:45:00.000-05:00,[KLB] 9:45 ▼ ~ ~ PM H + ~ ORB H vol=2.9x pos=v98 O627.71 H628.23 L626.58 C626.62 ATR=8.35 rawVol=95347 volSMA=33031 buf=0.417 prices=627.39/627.68
2026-01-30T09:59:00.000-05:00,[KLB] 9:59 ▲ ◆ ◆⁴ Week H 3.2x ^26 vol= pos= O627.14 H628.02 L626.28 C626.73 ATR=8.35 rawVol=142915 volSMA=47245 buf=0.417 prices=
2026-01-30T10:29:00.000-05:00,[KLB] CONF 10:29 ▲ BRK → ✗ (failed)
2026-01-30T10:40:00.000-05:00,[KLB] 10:40 ▲ BRK Week H vol=1.6x pos=^85 O625.01 H627.06 L625.01 C626.76 ATR=8.35 rawVol=131363 volSMA=81989 buf=0.417 prices=625.4
2026-01-30T10:40:00.000-05:00,[KLB] 10:40 ▲ ~ ~ ORB L vol=1.6x pos=^85 O625.01 H627.06 L625.01 C626.76 ATR=8.35 rawVol=131363 volSMA=81989 buf=0.417 prices=625.2
2026-01-30T10:57:00.000-05:00,[KLB] 10:57 ▲ ◆ ◆³ Week H 0.9x ^27 vol= pos= O627.46 H627.58 L625.9 C626.36 ATR=8.35 rawVol=64451 volSMA=90870 buf=0.417 prices=
2026-01-30T11:16:00.000-05:00,[KLB] CONF 11:16 ▲ BRK → ✗ (failed)
2026-01-30T13:20:00.000-05:00,[KLB] 13:20 ▼ BRK PM L vol=1.5x pos=v95 O621.79 H621.97 L620.43 C620.5 ATR=8.35 rawVol=86344 volSMA=56382 buf=0.417 prices=621.26
2026-01-30T13:27:00.000-05:00,[KLB] CONF 13:27 ▼ BRK → ✗ (failed)
2026-01-30T15:50:00.000-05:00,[KLB] 15:50 ▲ ~~ ~~ PM L vol=1.9x pos=^98 O621.2 H622.83 L621.18 C622.79 ATR=8.35 rawVol=121280 volSMA=64576 buf=0.417 prices=621.26
2026-01-30T15:55:00.000-05:00,[KLB] 15:55 ▼ ~~ ~~ Week H vol=2.7x pos=v80 O622.84 H623.12 L620.99 C621.42 ATR=8.35 rawVol=196367 volSMA=72270 buf=0.417 prices=625.4
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ BRK PM H vol=13.6x pos=^76 O618.7 H621.76 L618.66 C621.02 ATR=8.48 rawVol=314344 volSMA=23101 buf=0.424 prices=618.8
2026-02-02T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=13.6x pos=^76 O618.7 H621.76 L618.66 C621.02 ATR=8.48 rawVol=314344 volSMA=23101 buf=0.424 prices=618.66
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=10.1x pos=^76 O621.05 H623.02 L620.6 C622.43 ATR=8.48 rawVol=169868 volSMA=31251 buf=0.424 prices=621.76
2026-02-02T09:40:00.000-05:00,[KLB] 9:40 ▲ ~ ~ Yest L + ~ Week L vol=10.1x pos=^76 O621.05 H623.02 L620.6 C622.43 ATR=8.48 rawVol=169868 volSMA=31251 buf=0.424 prices=619.3/618.27
2026-02-02T09:40:00.000-05:00,[KLB] CONF 9:40 ▲ BRK → ✓ (auto-promote)
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.3x pos=v69 O628.25 H628.68 L625.98 C626.83 ATR=8.57 rawVol=177778 volSMA=12395 buf=0.429 prices=628.07
2026-02-03T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14.3x pos=v69 O628.25 H628.68 L625.98 C626.83 ATR=8.57 rawVol=177778 volSMA=12395 buf=0.429 prices=628.68
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ BRK ORB L vol=9.4x pos=v88 O626.85 H627.26 L625.27 C625.51 ATR=8.57 rawVol=133069 volSMA=18941 buf=0.429 prices=625.98
2026-02-03T09:40:00.000-05:00,[KLB] 9:40 ▼ ~ ~ Yest H vol=9.4x pos=v88 O626.85 H627.26 L625.27 C625.51 ATR=8.57 rawVol=133069 volSMA=18941 buf=0.429 prices=628.49
2026-02-03T09:40:00.000-05:00,[KLB] CONF 9:40 ▼ BRK → ✓ (auto-promote)
2026-02-03T09:55:00.000-05:00,[KLB] 9:55 ▼ ~ ~ Week H vol=2.7x pos=v100 O624.93 H624.94 L623.08 C623.08 ATR=8.57 rawVol=104583 volSMA=39347 buf=0.429 prices=636.6
2026-02-03T10:25:00.000-05:00,[KLB] 10:25 ▼ BRK Yest L + Week L vol=2x pos=v99 O619.59 H620.28 L617.25 C617.28 ATR=8.57 rawVol=194708 volSMA=96176 buf=0.429 prices=618.66/618.27
2026-02-03T10:25:00.000-05:00,[KLB] CONF 10:25 ▼ BRK → ✓ (auto-promote)
2026-02-03T10:26:00.000-05:00,[KLB] CONF 10:26 ▼ BRK → ✗ (failed)
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ BRK PM L vol=14.1x pos=v65 O615.02 H615.07 L611.29 C612.62 ATR=9.32 rawVol=286632 volSMA=20287 buf=0.466 prices=613.6
2026-02-04T09:35:00.000-05:00,[KLB] 9:35 ▼ ~ ~ ORB H vol=14.1x pos=v65 O615.02 H615.07 L611.29 C612.62 ATR=9.32 rawVol=286632 volSMA=20287 buf=0.466 prices=615.07
2026-02-04T09:35:00.000-05:00,[KLB] CONF 9:35 ▼ BRK → ✗ (failed)
2026-02-04T09:40:00.000-05:00,[KLB] 9:40 ▲ ~~ ~~ PM L vol=5.6x pos=^75 O612.62 H614.98 L612.12 C614.26 ATR=9.32 rawVol=156942 volSMA=28086 buf=0.466 prices=613.6
2026-02-04T09:55:00.000-05:00,[KLB] 9:55 ▼ BRK PM L vol=3x pos=v48 O614.08 H614.36 L611.6 C613.04 ATR=9.32 rawVol=135741 volSMA=45680 buf=0.466 prices=613.6
2026-02-04T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L + ORB L vol=2.7x pos=v93 O613.05 H613.25 L610.21 C610.42 ATR=9.32 rawVol=104044 volSMA=50703 buf=0.466 prices=610.96/611.29
2026-02-04T10:00:00.000-05:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-promote)
2026-02-04T10:10:00.000-05:00,[KLB] 10:10 ▼ ◆ ◆² ORB L 3.3x v10 vol= pos= O609.32 H611.77 L609.32 C611.52 ATR=9.32 rawVol=193834 volSMA=71715 buf=0.466 prices=
2026-02-04T10:12:00.000-05:00,"[KLB] 10:12 ▼ ◆ ◆² Yest L 3.3x v10
◆² ORB L 3.3x v10 vol= pos= O609.32 H611.77 L609.32 C611.52 ATR=9.32 rawVol=193834 volSMA=71715 buf=0.466 prices="
2026-02-04T10:20:00.000-05:00,[KLB] 10:20 ▼ BRK Yest L vol=1.6x pos=v79 O611.07 H611.48 L610.07 C610.36 ATR=9.32 rawVol=78360 volSMA=81413 buf=0.466 prices=610.96
2026-02-04T10:20:00.000-05:00,[KLB] CONF 10:20 ▼ BRK → ✓ (auto-promote)
2026-02-04T10:21:00.000-05:00,[KLB] CONF 10:21 ▼ BRK → ✗ (failed)
2026-02-05T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ PM L + ~ ORB L vol=11.4x pos=^100 O600.21 H601.25 L597.35 C601.25 ATR=9.8 rawVol=460496 volSMA=40296 buf=0.49 prices=598.74/597.35
2026-02-05T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK ORB H vol=8.5x pos=^98 O601.21 H603.39 L599.88 C603.33 ATR=9.8 rawVol=317120 volSMA=53891 buf=0.49 prices=601.25
2026-02-05T09:55:00.000-05:00,[KLB] 9:55 ▲ ◆ ◆³ ORB H 3x ^18 vol= pos= O603.91 H604.8 L601.97 C602.47 ATR=9.8 rawVol=160569 volSMA=86070 buf=0.49 prices=
2026-02-05T09:57:00.000-05:00,[KLB] CONF 9:57 ▲ BRK → ✗ (failed)
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ BRK Yest L vol=2.1x pos=v89 O602.43 H602.76 L599.95 C600.27 ATR=9.8 rawVol=200734 volSMA=95741 buf=0.49 prices=600.47
2026-02-05T10:00:00.000-05:00,[KLB] 10:00 ▼ ~~ ~~ ORB H vol=2.1x pos=v89 O602.43 H602.76 L599.95 C600.27 ATR=9.8 rawVol=200734 volSMA=95741 buf=0.49 prices=601.25
2026-02-05T10:05:00.000-05:00,[KLB] 10:05 ▼ BRK PM L vol=2.5x pos=v80 O600.26 H601.02 L598.04 C598.64 ATR=9.8 rawVol=274371 volSMA=108975 buf=0.49 prices=598.74
2026-02-05T10:05:00.000-05:00,[KLB] CONF 10:05 ▼ BRK → ✓ (auto-promote)
2026-02-05T10:15:00.000-05:00,[KLB] 10:15 ▼ BRK ORB L vol=1.6x pos=v99 O597.86 H598.53 L595.08 C595.13 ATR=9.8 rawVol=196431 volSMA=126765 buf=0.49 prices=597.35
2026-02-05T10:15:00.000-05:00,[KLB] CONF 10:15 ▼ BRK → ✓ (auto-promote)
2026-02-05T10:25:00.000-05:00,[KLB] 10:25 ▼ ◆ ◆² ORB L 0.8x v69 vol= pos= O597.03 H597.58 L595.62 C596.23 ATR=9.8 rawVol=106075 volSMA=140759 buf=0.49 prices=
2026-02-05T10:39:00.000-05:00,[KLB] CONF 10:39 ▼ BRK → ✗ (failed)
2026-02-05T14:30:00.000-05:00,[KLB] 14:30 ▼ BRK Yest L vol=1.6x pos=v92 O601.38 H601.38 L599.95 C600.07 ATR=9.8 rawVol=96041 volSMA=59230 buf=0.49 prices=600.47
2026-02-05T14:30:00.000-05:00,[KLB] 14:30 ▼ ~~ ~~ ORB H vol=1.6x pos=v92 O601.38 H601.38 L599.95 C600.07 ATR=9.8 rawVol=96041 volSMA=59230 buf=0.49 prices=601.25
2026-02-05T15:05:00.000-05:00,[KLB] 15:05 ▲ ~~ ~~ PM L vol=1.5x pos=^98 O598.8 H599.44 L598.35 C599.42 ATR=9.8 rawVol=90366 volSMA=58968 buf=0.49 prices=598.74
2026-02-05T15:07:00.000-05:00,[KLB] 15:07 ▼ ◆ ◆⁷ Yest L 1.5x v2 vol= pos= O598.8 H599.44 L598.35 C599.42 ATR=9.8 rawVol=90366 volSMA=58968 buf=0.49 prices=
2026-02-05T15:10:00.000-05:00,[KLB] CONF 15:10 ▼ BRK → ✗ (failed)
2026-02-05T15:25:00.000-05:00,[KLB] 15:25 ▼ BRK PM L vol=1.5x pos=v82 O598.3 H598.46 L597.18 C597.41 ATR=9.8 rawVol=103403 volSMA=75131 buf=0.49 prices=598.74
2026-02-05T15:35:00.000-05:00,[KLB] 15:35 ▼ BRK ORB L vol=2x pos=v78 O597 H597.45 L596.59 C596.78 ATR=9.8 rawVol=170119 volSMA=83814 buf=0.49 prices=597.35
2026-02-05T15:35:00.000-05:00,[KLB] CONF 15:35 ▼ BRK → ✓ (auto-promote)
2026-02-05T15:56:00.000-05:00,[KLB] 15:56 ▼ ◆ ◆⁴ ORB L 1.9x v17 vol= pos= O596.39 H596.87 L595.3 C596.6 ATR=9.8 rawVol=187364 volSMA=97931 buf=0.49 prices=
2026-02-06T09:30:00.000-05:00,[KLB] 9:30 ▼ ~ ~ Yest H vol=2.9x pos=v78 O600.99 H601.02 L599.93 C600.17 ATR=9.89 rawVol=33333 volSMA=11641 buf=0.494 prices=604.81
2026-02-06T09:35:00.000-05:00,[KLB] 9:35 ▲ ~ ~ ORB L vol=12.6x pos=^85 O600.19 H603.21 L598.78 C602.56 ATR=9.89 rawVol=390367 volSMA=30905 buf=0.494 prices=598.78
2026-02-06T09:40:00.000-05:00,[KLB] 9:40 ▲ BRK PM H + ORB H vol=9.3x pos=^90 O602.56 H604.12 L601.62 C603.86 ATR=9.89 rawVol=237737 volSMA=42037 buf=0.494 prices=602.91/603.21
2026-02-06T09:41:00.000-05:00,[KLB] CONF 9:41 ▲ BRK → ✗ (failed)
2026-02-06T10:00:00.000-05:00,[KLB] 10:00 ▼ ~~ ~~ PM H + ~~ ORB H vol=2.3x pos=v91 O603.75 H603.76 L602.35 C602.48 ATR=9.89 rawVol=127679 volSMA=74012 buf=0.494 prices=602.91/603.21
