name	train_n	train_win	train_avg	train_score	val_n	val_win	val_avg	val_score	all_n	all_win	all_avg	all_score	all_sharpe	all_worst
BASELINE: v1.2c defaults	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=0	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=0.5	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=1.0	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=1.5	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=2.0	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
ORB_WIDTH=2.5	64	29.7	0.55	20.8	59	20.3	-0.24	-5.8	122	25.4	0.18	11.3	0.81	0.8
ORB_WIDTH=3.0	64	28.1	0.29	10.6	59	20.3	-0.27	-6.4	122	24.6	0.04	2.2	0.16	1.6
ORB_WIDTH=3.5	64	28.1	0.29	10.6	59	23.7	0.02	0.5	122	26.2	0.17	11.2	0.73	1.6
HOLD=3bars	64	32.8	0.72	30.3	59	23.7	-0.11	-3.0	122	28.7	0.34	23.7	1.73	0.0
HOLD=5bars	64	32.8	0.58	24.5	59	22.0	-0.23	-5.9	122	27.9	0.21	14.1	1.09	0.0
HOLD=8bars	64	32.8	0.6	25.3	59	22.0	-0.21	-5.6	122	27.9	0.23	15.3	1.15	0.0
HOLD=10bars	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
HOLD=12bars	64	29.7	0.71	26.9	59	18.6	-0.31	-6.8	122	24.6	0.23	14.0	1.07	0.0
HOLD=15bars	64	26.6	0.79	27.0	59	18.6	-0.15	-3.4	122	23.0	0.35	19.9	1.44	0.0
HOLD=20bars	64	26.6	0.81	27.4	59	18.6	-0.45	-10.0	122	23.0	0.22	12.1	0.7	1.6
HOLD=25bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=30bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=45bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=60bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=90bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=120bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=180bars	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
HOLD=EOD	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
SL=orb_low	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
SL=orb_low_025	64	29.7	0.64	24.2	59	20.3	-0.26	-6.4	122	25.4	0.22	13.5	1.0	0.0
SL=orb_low_050	64	29.7	0.58	22.2	59	22.0	-0.26	-6.6	122	26.2	0.19	12.4	0.88	0.0
SL=fixed_2	64	31.2	0.58	23.1	59	22.0	-0.2	-5.3	122	27.0	0.22	14.4	1.0	0.0
FALLBACK_SL=1.0	64	26.6	0.83	28.1	59	16.9	-0.0	-0.1	122	22.1	0.44	23.8	2.19	0.0
FALLBACK_SL=1.25	64	28.1	0.76	27.4	59	20.3	0.0	0.1	122	24.6	0.41	24.7	1.95	0.0
FALLBACK_SL=1.5	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
FALLBACK_SL=1.75	64	29.7	0.6	22.8	59	20.3	-0.41	-9.8	122	25.4	0.13	8.2	0.6	0.0
FALLBACK_SL=2.0	64	32.8	0.74	30.9	59	25.4	-0.23	-7.0	122	29.5	0.29	21.1	1.24	0.0
FALLBACK_SL=2.5	64	34.4	0.51	22.5	59	27.1	-0.3	-9.6	122	31.1	0.14	10.8	0.56	0.8
FALLBACK_SL=3.0	64	39.1	0.73	36.4	59	33.9	-0.13	-5.3	122	36.9	0.34	30.3	1.28	0.8
ACCEL=4m	63	30.2	0.75	28.4	60	20.0	-0.26	-6.3	122	25.4	0.27	16.6	1.23	0.0
ACCEL=2m (baseline)	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
PATH_EFF=on	34	35.3	1.19	19.4	44	20.5	-0.46	-7.2	77	27.3	0.28	12.0	1.23	0.0
PATH_EFF=on_wide	50	34.0	0.93	31.8	52	21.2	-0.25	-5.4	101	27.7	0.35	19.6	1.57	0.0
FAKEOUT=new_low_required (v1.2c)	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
FAKEOUT=any_updn (v1.1k)	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
COMBO: hold=10 sl=orb_low	64	29.7	0.7	26.7	59	20.3	-0.24	-5.8	122	25.4	0.26	16.4	1.21	0.0
COMBO: hold=10 sl=orb_low_025	64	29.7	0.64	24.2	59	20.3	-0.26	-6.4	122	25.4	0.22	13.5	1.0	0.0
COMBO: hold=15 sl=orb_low	64	26.6	0.79	27.0	59	18.6	-0.15	-3.4	122	23.0	0.35	19.9	1.44	0.0
COMBO: hold=15 sl=orb_low_025	64	26.6	0.72	24.4	59	18.6	-0.18	-3.9	122	23.0	0.3	17.0	1.23	0.0
COMBO: hold=20 sl=orb_low	64	26.6	0.81	27.4	59	18.6	-0.45	-10.0	122	23.0	0.22	12.1	0.7	1.6
COMBO: hold=20 sl=orb_low_025	64	26.6	0.74	25.3	59	18.6	-0.47	-10.3	122	23.0	0.18	9.9	0.57	1.6
COMBO: hold=30 sl=orb_low	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
COMBO: hold=30 sl=orb_low_025	64	26.6	0.93	31.5	59	16.9	-0.85	-17.0	122	22.1	0.09	4.7	0.25	2.5
COMBO: hold=45 sl=orb_low	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
COMBO: hold=45 sl=orb_low_025	64	26.6	0.93	31.5	59	16.9	-0.85	-17.0	122	22.1	0.09	4.7	0.25	2.5
COMBO: hold=60 sl=orb_low	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
COMBO: hold=60 sl=orb_low_025	64	26.6	0.93	31.5	59	16.9	-0.85	-17.0	122	22.1	0.09	4.7	0.25	2.5
COMBO: hold=EOD sl=orb_low	64	26.6	0.99	33.5	59	16.9	-0.84	-16.8	122	22.1	0.12	6.7	0.36	2.5
COMBO: hold=EOD sl=orb_low_025	64	26.6	0.93	31.5	59	16.9	-0.85	-17.0	122	22.1	0.09	4.7	0.25	2.5
COMBO: hold=15 path_eff=on	34	29.4	1.16	15.8	44	18.2	-0.41	-5.7	77	23.4	0.3	10.8	1.15	0.0
COMBO: hold=20 path_eff=on	34	29.4	0.8	10.8	44	18.2	-0.59	-8.4	77	23.4	0.03	1.1	0.11	1.3
COMBO: hold=30 path_eff=on	34	29.4	1.22	16.6	44	15.9	-1.03	-12.7	77	22.1	-0.03	-1.0	-0.08	2.6
COMBO: hold=45 path_eff=on	34	29.4	1.22	16.6	44	15.9	-1.03	-12.7	77	22.1	-0.03	-1.0	-0.08	2.6
COMBO: hold=60 path_eff=on	34	29.4	1.22	16.6	44	15.9	-1.03	-12.7	77	22.1	-0.03	-1.0	-0.08	2.6
COMBO: hold=EOD path_eff=on	34	29.4	1.22	16.6	44	15.9	-1.03	-12.7	77	22.1	-0.03	-1.0	-0.08	2.6
